,matchId,nickname,seasonId,matchResult,matchEndType,systemPause,foul,injury,redCards,yellowCards,dribble,cornerKick,possession,offsideCount,averageRating,controller,shootTotal,effectiveShootTotal,shootOutScore,goalTotal,goalTotalDisplay,ownGoal,shootHeading,goalHeading,shootFreekick,goalFreekick,shootInPenalty,goalInPenalty,shootOutPenalty,goalOutPenalty,shootPenaltyKick,goalPenaltyKick,passTry,passSuccess,shortPassTry,shortPassSuccess,longPassTry,longPassSuccess,bouncingLobPassTry,bouncingLobPassSuccess,drivenGroundPassTry,drivenGroundPassSuccess,throughPassTry,throughPassSuccess,lobbedThroughPassTry,lobbedThroughPassSuccess,blockTry,blockSuccess,tackleTry,tackleSuccess
0,61fcefb6ced7472d051a9d7b,SaddlerJungMin,202202,ÆÐ,0,0,1,0,0,0,91,5,50,0,3.98333,gamepad,6,5,0,2,2,0,2,1,0,0,4,1,2,1,0,0,115,105,80,75,9,7,0,0,5,5,20,18,1,0,12,0,10,2
1,61fcefb6ced7472d051a9d7b,INS4NE°æ¼·,202202,½Â,0,0,1,0,0,0,84,2,50,1,4.28889,gamepad,7,6,0,3,3,0,1,1,0,0,6,3,1,0,0,0,116,104,88,82,8,5,0,0,2,2,15,13,3,2,6,0,9,5
2,61fcecc512c41c0c7a0ad418,Á®ÁÜ,202202,ÆÐ,0,1,1,0,0,0,88,0,49,1,4.0,keyboard,6,3,0,2,2,0,0,0,0,0,4,1,2,1,0,0,116,106,110,101,1,1,0,0,0,0,5,4,0,0,4,0,19,11
3,61fcecc512c41c0c7a0ad418,SaddlerJungMin,202202,½Â,0,0,0,0,0,0,89,2,51,0,4.32222,gamepad,4,3,0,3,3,0,0,0,0,0,3,3,0,0,0,0,128,113,87,82,9,5,0,0,3,2,28,24,0,0,12,2,12,6
4,61fce9e831ade6b9e3fb2080,Scout,202202,ÆÐ,2,1,0,0,0,0,57,3,48,1,3.60556,keyboard,6,6,0,1,0,0,3,1,0,0,5,1,0,0,1,0,124,109,103,92,6,6,0,0,0,0,12,9,3,2,4,1,9,4
5,61fce9e831ade6b9e3fb2080,SaddlerJungMin,202202,½Â,1,1,1,0,0,0,81,0,52,0,4.76111,gamepad,7,6,0,5,3,0,1,0,0,0,4,4,2,1,0,0,108,98,75,73,4,3,0,0,2,1,26,21,0,0,5,0,6,0
6,61fce71266efcbff177ba220,SaddlerJungMin,202202,½Â,0,0,0,0,0,0,77,0,48,1,4.13889,gamepad,5,2,0,2,2,0,1,0,0,0,4,2,1,0,0,0,110,99,73,70,7,6,0,0,5,4,22,17,2,2,7,0,11,5
7,61fce71266efcbff177ba220,Çã¹÷,202202,ÆÐ,0,0,0,0,0,0,83,2,52,1,3.7,keyboard,2,2,0,1,1,0,0,0,0,0,2,1,0,0,0,0,138,130,122,116,1,0,0,0,4,4,9,8,2,2,3,0,5,3
8,61fcdcba4a61f006c4079dbb,SaddlerJungMin,202202,½Â,0,0,0,0,0,0,100,2,59,1,4.42778,gamepad,6,5,0,3,3,0,0,0,0,0,3,3,3,0,0,0,142,134,105,99,5,5,0,0,3,3,27,27,0,0,4,0,13,7
9,61fcdcba4a61f006c4079dbb,ºù°¡´Ù,202202,ÆÐ,0,0,2,1,0,0,56,1,41,1,3.42222,gamepad,4,4,0,1,1,0,0,0,0,0,1,1,2,0,0,0,79,71,52,48,7,6,0,0,1,1,19,16,0,0,2,0,14,5
